home_form,away_form,home_win_rate,home_draw_rate,away_win_rate,away_draw_rate,competition_id,home_points,away_points,h2h_home,h2h_away,home_rest_days,away_rest_days,home_scored,away_scored,home_conceded,away_conceded,home_diff,away_diff,home_raw_points,away_raw_points,home_momentum,away_momentum,home_clean_sheet,away_clean_sheet
0.0,0.0,0.0,0.0,0.0,0.0,SC1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,SC1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,RU1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,RU1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.6666666666666666,1.0,0.0,0.0,1.0,0.0,RU1,0.6666666666666666,1.0,,,4.0,1.0,1.0,2.0,0.5,1.0,,,4,3,0.5,1.0,0.5,0.0
0.5555555555555556,0.5333333333333333,0.0,1.0,0.0,1.0,RU1,0.5555555555555556,0.5333333333333333,,,1.0,63.0,1.4,2.2,0.6,1.4,,,10,8,0.8,0.8,0.6,0.2
0.7916666666666666,0.5833333333333334,0.75,0.25,0.5,0.3333333333333333,RU1,0.7916666666666666,0.5833333333333334,1.0,0.0,91.0,122.0,1.8,2.0,1.4,1.2,2.0,-2.0,19,14,0.4,0.8,0.4,0.0
0.0,0.0,0.0,0.0,0.0,0.0,RU1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,RU1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,RU1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.1904761904761904,0.9047619047619048,0.2,0.2,1.0,0.0,RU1,0.1904761904761904,0.9047619047619048,,,60.0,119.0,0.8,2.0,1.4,0.6,,,4,19,-0.6,1.4,0.4,0.6
0.4666666666666667,0.5333333333333333,0.6,0.2,0.6,0.4,RU1,0.4545454545454545,0.5151515151515151,,,60.0,29.0,1.0,1.2,0.8,0.8,,,15,17,0.2,0.4,0.6,0.6
0.0,0.0,0.0,0.0,0.0,0.0,RU1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.4444444444444444,0.4444444444444444,0.5,0.5,0.25,0.5,RU1,0.4444444444444444,0.4444444444444444,,,117.0,117.0,0.6,0.8,1.0,0.8,,,8,8,-0.4,0.0,0.6,0.4
0.0,0.0,0.0,0.0,0.0,0.0,RU1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,UKR1,0.3333333333333333,0.6666666666666666,,,179.0,120.0,1.6666666666666667,1.2,1.6666666666666667,0.6,,,3,10,0.0,0.6,0.0,0.8
1.0,0.0,1.0,0.0,0.0,0.0,UKR1,1.0,0.0,,,55.0,,3.5,,0.0,,,,6,0,3.5,,1.0,
0.0,0.0,0.0,0.0,0.0,0.0,UKR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,UKR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.3333333333333333,0.1111111111111111,0.0,1.0,0.0,0.0,UKR1,0.3333333333333333,0.1111111111111111,,,63.0,63.0,1.0,0.3333333333333333,1.75,1.0,,,4,1,-0.75,-0.6666666666666666,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,UKR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.1333333333333333,0.6,0.0,0.5,0.5,0.5,UKR1,0.1333333333333333,0.6,,,178.0,148.0,1.0,1.2,2.2,0.8,,,2,9,-1.2,0.4,0.0,0.4
0.2222222222222222,0.3888888888888889,0.0,0.0,0.0,0.0,UKR1,0.2222222222222222,0.3888888888888889,,,119.0,148.0,0.0,1.4,1.6,2.2,,,4,7,-1.6,-0.8,0.2,0.4
0.0,0.0,0.0,0.0,0.0,0.0,UKR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,UKR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.4166666666666667,0.3333333333333333,0.4,0.0,0.0,0.6666666666666666,UKR1,0.4166666666666667,0.3333333333333333,,,92.0,31.0,0.6,1.8,1.4,2.0,,,10,7,-0.8,-0.2,0.2,0.2
0.0,0.0,0.0,0.0,0.0,0.0,UKR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.2222222222222222,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,PO1,0.2222222222222222,0.3333333333333333,,,88.0,60.0,1.0,0.5,1.3333333333333333,0.5,,,2,2,-0.3333333333333333,0.0,0.3333333333333333,0.5
0.0,0.0,0.0,0.0,0.0,0.0,PO1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.2,0.6,0.2,0.4,0.1666666666666666,0.5,PO1,0.2121212121212121,0.6111111111111112,0.0,1.0,57.0,27.0,0.6,2.4,1.8,1.2,-2.0,2.0,7,22,-1.2,1.2,0.2,0.2
0.6,0.2333333333333333,0.8,0.2,0.0,0.4,PO1,0.6,0.2333333333333333,,,32.0,32.0,1.8,0.8,1.2,1.4,,,18,7,0.6,-0.6,0.2,0.2
0.7777777777777778,0.5555555555555556,0.0,1.0,0.25,0.25,PO1,0.7777777777777778,0.5555555555555556,,,61.0,61.0,1.8,1.0,1.0,1.0,,,14,10,0.8,0.0,0.2,0.6
0.5333333333333333,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.5,0.5,PO1,0.5333333333333333,0.5555555555555556,,,27.0,27.0,1.0,1.6,0.6,1.0,,,8,10,0.4,0.6,0.6,0.4
0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.5238095238095238,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,ES1,0.5238095238095238,0.2666666666666666,,,57.0,88.0,1.4,1.0,1.2,1.2,,,11,4,0.2,-0.2,0.2,0.4
0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.4333333333333333,0.6,0.6,0.0,0.4285714285714285,0.2857142857142857,ES1,0.3939393939393939,0.6428571428571429,,,29.0,29.0,1.4,1.4,1.4,0.6,,,13,27,0.0,0.8,0.4,0.4
0.0,0.0,0.0,0.0,0.0,0.0,NL1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.3888888888888889,0.1111111111111111,0.25,0.25,0.0,0.3333333333333333,NL1,0.3888888888888889,0.1111111111111111,,,30.0,3.0,1.4,0.4,1.6,1.4,,,7,2,-0.2,-1.0,0.0,0.2
0.6,0.4666666666666667,0.8,0.0,0.0,0.25,NL1,0.5757575757575758,0.4545454545454545,0.0,0.0,28.0,28.0,3.0,2.4,1.8,1.0,0.0,0.0,19,15,1.2,1.4,0.2,0.4
0.0,0.0,0.0,0.0,0.0,0.0,NL1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,NL1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,NL1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,NL1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.5,0.2333333333333333,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.1666666666666666,NL1,0.4523809523809524,0.2121212121212121,,,1.0,91.0,2.0,1.4,1.0,1.8,,,19,7,1.0,-0.4,0.4,0.2
0.5555555555555556,0.1666666666666666,0.3333333333333333,0.5,0.25,0.25,NL1,0.5555555555555556,0.1666666666666666,1.0,0.0,30.0,29.0,1.4,1.2,1.0,2.2,3.0,-3.0,15,4,0.4,-1.0,0.4,0.0
0.4666666666666667,0.6333333333333333,0.6666666666666666,0.1666666666666666,0.8,0.0,NL1,0.4666666666666667,0.6333333333333333,0.0,0.0,30.0,29.0,2.4,1.6,1.2,2.0,0.0,0.0,14,19,1.2,-0.4,0.4,0.0
0.5833333333333334,0.0,1.0,0.0,0.0,0.0,NL1,0.5833333333333334,0.0,,,56.0,,1.5,,0.75,,,,7,0,0.75,,0.5,
0.2,0.8,0.0,0.0,1.0,0.0,SC1,0.2,0.8,0.0,1.0,58.0,58.0,1.0,2.0,1.8,0.6,-2.0,2.0,3,12,-0.8,1.4,0.0,0.6
0.0,0.0,0.0,0.0,0.0,0.0,TR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,TR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.5,1.0,1.0,0.0,0.0,0.0,TR1,0.5,1.0,,,27.0,61.0,1.5,3.0,1.5,0.0,,,3,3,0.0,3.0,0.0,1.0
0.6666666666666666,0.5,0.5,0.5,0.5,0.0,TR1,0.6666666666666666,0.5,,,61.0,30.0,2.25,1.0,0.5,2.0,,,8,6,1.75,-1.0,0.5,0.25
0.0,0.0,0.0,0.0,0.0,0.0,TR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.5833333333333334,0.6666666666666666,1.0,0.0,0.0,0.0,TR1,0.5833333333333334,0.6666666666666666,,,1.0,94.0,1.25,1.3333333333333333,0.75,1.0,,,7,6,0.5,0.3333333333333333,0.5,0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,TR1,0.0,0.0,,,,,,,,,,,0,0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,TR1,0.0,0.0,,,,,,,,,,,0,0,,,,
